study,transition,ligand,receptor,sender,receiver,log2FC,pLig,pRec,score_sham,score_mcao,pathway,sig
GSE197731_WT,24h,Apoe,Ldlr,Bcell,Pericyte,2.2391882,0.21336974,0.0051406664,0.13159332,0.62501454,Lipoprotein,True
GSE197731_WT,48h,Apoe,Ldlr,Tcell,Macrophage,1.6607754,1.0861124e-06,0.008108232,0.06182314,0.19763824,Lipoprotein,True
GSE197731_WT,24h,Apoe,Lrp1,Bcell,Endothelial,1.9004195,0.21336974,0.019029256,0.33856687,1.2666768,Lipoprotein,True
GSE197731_WT,48h,Apoe,Lrp1,Tcell,NK,2.860867,1.0861124e-06,1.436827e-06,0.036280017,0.26982135,Lipoprotein,True
GSE197731_WT,24h,App,Sorl1,NK,Endothelial,1.3390388,0.0024413343,0.8659006,0.027104974,0.070100725,Amyloid,True
GSE197731_WT,48h,App,Sorl1,NK,Endothelial,3.5527139,2.2511305e-11,0.09714553,0.027104974,0.32880455,Amyloid,True
GSE197731_WT,24h,Bmp4,Bmpr1a,Pericyte,Microglia,-0.3381593,0.7005928,0.00015285373,0.04077014,0.03204227,BMP,False
GSE197731_WT,24h,C1qa,C1qb,Pericyte,Pericyte,-1.6017643,0.06333521,0.08069472,6.6644907,2.1951046,Complement,False
GSE197731_WT,48h,C1qa,C1qb,Endothelial,NK,-6.03153,0.003547387,1.4563741e-20,0.8738322,0.012373756,Complement,True
GSE197731_WT,24h,C3,C3ar1,Macrophage,Endothelial,1.8899747,0.7819527,0.0063396413,0.17675892,0.6578256,Complement,True
GSE197731_WT,48h,C3,C3ar1,Oligodendrocyte,Macrophage,0.70968807,0.73041654,6.093409e-10,0.111168005,0.18244521,Complement,True
GSE197731_WT,24h,Ccl2,Ccr2,Pericyte,NK,2.6422493,0.0039832327,0.94840246,0.1508197,0.946817,Chemokine,True
GSE197731_WT,48h,Ccl2,Ccr2,Microglia,Tcell,1.6489556,0.0,0.03380966,0.32163,1.0107887,Chemokine,True
GSE197731_WT,48h,Ccl2,Sdc1,Microglia,Macrophage,2.3366518,0.0,1.995244e-09,0.03311607,0.17133012,Chemokine,True
GSE197731_WT,24h,Ccl3,Ccr1,Endothelial,NK,2.732844,0.026930911,0.007952926,0.1261839,0.8444739,Chemokine,True
GSE197731_WT,48h,Ccl3,Ccr1,NK,Macrophage,-1.8928792,3.4254599e-19,5.9422334e-08,1.0800306,0.2900882,Chemokine,True
GSE197731_WT,24h,Ccl3,Ccr5,Endothelial,Endothelial,2.804854,0.026930911,0.12277436,0.1787539,1.2550977,Chemokine,True
GSE197731_WT,48h,Ccl3,Ccr5,NK,Microglia,-2.794643,3.4254599e-19,0.0,0.87604886,0.12540157,Chemokine,True
GSE197731_WT,24h,Ccl4,Ccr5,Endothelial,Endothelial,2.6849654,0.0029444636,0.12277436,0.23232904,1.4994583,Chemokine,True
GSE197731_WT,48h,Ccl4,Ccr5,Tcell,Microglia,-3.1512082,8.924586e-08,0.0,0.83413184,0.09300411,Chemokine,True
GSE197731_WT,24h,Ccl5,Ccr5,NK,Endothelial,0.8171925,0.09740898,0.12277436,0.6082499,1.0724823,Chemokine,False
GSE197731_WT,48h,Ccl5,Ccr5,NK,Microglia,-1.7519541,4.9472476e-08,0.0,2.8149195,0.83504474,Chemokine,True
GSE197731_WT,48h,Ccl7,Ccr2,Macrophage,Tcell,1.1187315,5.2485293e-06,0.03380966,0.1635553,0.35634166,Chemokine,True
GSE197731_WT,24h,Cd40,Cd40lg,Bcell,Tcell,-0.6306913,0.7970322,0.56231695,0.058966927,0.037730653,Costim,False
GSE197731_WT,48h,Cd40,Cd40lg,Bcell,Tcell,-1.2660761,0.48872536,0.15129153,0.058966927,0.023933595,Costim,False
GSE197731_WT,24h,Cdh2,Cdh2,Pericyte,Pericyte,-2.233498,0.16260865,0.16260865,0.34587082,0.07275948,Adhesion,False
GSE197731_WT,24h,Col4a1,Cd44,Endothelial,Pericyte,1.7205086,0.3771981,0.0061150594,0.18170178,0.6010984,ECM,True
GSE197731_WT,48h,Col4a1,Cd44,Endothelial,Endothelial,2.0711946,0.9370424,0.0068533495,0.28787667,1.2129594,ECM,True
GSE197731_WT,24h,Csf1,Csf1r,Macrophage,Bcell,1.835033,9.4945e-22,0.26781654,0.041234836,0.14968526,Cytokine,True
GSE197731_WT,48h,Csf1,Csf1r,Endothelial,Endothelial,-1.9236083,0.5338961,0.2625768,0.38948146,0.101928726,Cytokine,False
GSE197731_WT,24h,Ctla4,Cd80,NK,Pericyte,2.474058,0.08892806,0.07736891,0.015472583,0.09052237,Checkpoint,False
GSE197731_WT,48h,Ctla4,Cd80,Tcell,Oligodendrocyte,0.50929236,0.88064665,0.17725964,0.16207828,0.23111777,Checkpoint,False
GSE197731_WT,24h,Cxcl10,Cxcr3,Macrophage,Tcell,-0.77550995,0.03550149,0.34189713,0.08163782,0.047275536,Chemokine,True
GSE197731_WT,48h,Cxcl10,Cxcr3,Macrophage,NK,-1.291747,0.036428235,1.6049569e-06,0.07590392,0.030411879,Chemokine,True
GSE197731_WT,48h,Cxcl10,Sdc1,NK,Macrophage,1.6798068,0.8431728,1.995244e-09,0.008427698,0.029204937,Chemokine,True
GSE197731_WT,24h,Cxcl12,Cxcr4,Pericyte,Oligodendrocyte,-2.8191698,0.22744352,0.01692718,0.37408108,0.052145988,Chemokine,True
GSE197731_WT,48h,Cxcl12,Cxcr4,Endothelial,Bcell,-3.197942,0.041019622,0.006138884,1.3943112,0.15105288,Chemokine,True
GSE197731_WT,24h,Cxcl16,Cxcr6,Macrophage,Tcell,-1.4611819,0.41357657,0.0030409654,0.48342848,0.17494223,Chemokine,True
GSE197731_WT,48h,Cxcl16,Cxcr6,NK,Tcell,1.7076881,7.9333345e-11,0.5185051,0.2140778,0.7015236,Chemokine,True
GSE197731_WT,24h,Cxcl2,Cxcr2,Pericyte,Macrophage,4.1813536,0.00015038768,1.6082931e-20,0.12298656,2.248508,Chemokine,True
GSE197731_WT,48h,Cxcl2,Cxcr2,Microglia,Oligodendrocyte,4.077992,0.0,0.0014024128,0.2825664,4.788086,Chemokine,True
GSE197731_WT,24h,Egfr,Egfr,Pericyte,Pericyte,2.121404,0.2055298,0.2055298,0.013100462,0.06035354,EGF,False
GSE197731_WT,48h,Epha2,Efna1,Microglia,Endothelial,-0.10742856,0.0815156,0.54397345,0.02050468,0.018961526,Ephrin,False
GSE197731_WT,24h,Fgf1,Fgfr1,Oligodendrocyte,Pericyte,-1.6341932,0.020038733,0.9546853,0.14501402,0.046038497,FGF,True
GSE197731_WT,24h,Fgf2,Fgfr1,Pericyte,NK,2.6509047,0.24480174,0.0021624945,0.0054015536,0.039205663,FGF,True
GSE197731_WT,24h,Fn1,Itga5,Macrophage,Microglia,1.5708625,9.901884e-18,0.0,0.14046675,0.41927266,ECM,True
GSE197731_WT,48h,Fn1,Itga5,Endothelial,Endothelial,-2.4456742,0.06013606,0.51630074,0.74160266,0.13531235,ECM,False
GSE197731_WT,24h,Fn1,Itgb1,Endothelial,NK,-1.5064753,0.016671576,0.14401418,2.2719336,0.79900455,ECM,True
GSE197731_WT,48h,Fn1,Itgb1,Endothelial,Microglia,-1.331174,0.06013606,1.0063935e-18,1.8479294,0.7338472,ECM,True
GSE197731_WT,24h,Gas6,Axl,Endothelial,Pericyte,-2.247821,0.04734997,0.29497802,0.47426736,0.09906367,Gas6,True
GSE197731_WT,48h,Gas6,Axl,Endothelial,Macrophage,-3.5345051,0.012448146,6.0683183e-06,0.15720826,0.012653283,Gas6,True
GSE197731_WT,24h,Hmgb1,Tlr4,Tcell,Macrophage,0.90215456,0.82791495,8.995421e-09,0.27506855,0.51493204,Alarmin,True
GSE197731_WT,48h,Hmgb1,Tlr4,Endothelial,Microglia,-0.94130415,0.084444836,8.87826e-05,0.4105946,0.21334279,Alarmin,True
GSE197731_WT,48h,Hpse,Sdc1,Macrophage,Macrophage,0.8788928,0.05812863,1.995244e-09,0.0102840215,0.019750902,ECM,True
GSE197731_WT,24h,Icam1,Itgal,Endothelial,NK,-1.4058992,0.38082507,0.00828667,0.36851373,0.13844815,Adhesion,True
GSE197731_WT,48h,Icam1,Itgal,Macrophage,Oligodendrocyte,1.6073475,5.4195493e-08,0.07249152,0.10044626,0.30809778,Adhesion,True
GSE197731_WT,24h,Icam1,Itgb2,Macrophage,Pericyte,2.1075885,1.5707513e-09,0.03370211,0.10199076,0.44285965,Adhesion,True
GSE197731_WT,48h,Icam1,Itgb2,Macrophage,Bcell,1.8892578,5.4195493e-08,0.0064171795,0.039054636,0.14738022,Adhesion,True
GSE197731_WT,24h,Ifng,Ifngr1,NK,Bcell,-1.3397598,0.10457648,0.068128,0.18993284,0.07443497,Cytokine,False
GSE197731_WT,24h,Il1b,Il1r1,Pericyte,Tcell,1.7754699,0.005458546,0.70578665,0.07061646,0.24417861,Cytokine,True
GSE197731_WT,48h,Il1b,Il1r1,Microglia,Tcell,3.620376,0.0,0.026907062,0.07696171,0.95778924,Cytokine,True
GSE197731_WT,24h,Il34,Csf1r,Pericyte,Microglia,-0.6180665,0.38348165,0.0,2.6589155,1.7320508,Cytokine,True
GSE197731_WT,24h,Jaml,Jam3,Tcell,Oligodendrocyte,-2.2940526,0.048946302,0.13811162,0.309094,0.062228773,Adhesion,True
GSE197731_WT,48h,Jaml,Jam3,Oligodendrocyte,Endothelial,0.5231807,0.07160703,0.8733496,0.05454412,0.078823574,Adhesion,False
GSE197731_WT,24h,Lama2,Itga7,Pericyte,Pericyte,-1.7922286,0.36021256,0.2698032,0.25884414,0.07402368,ECM,False
GSE197731_WT,24h,Lamb2,Itgb1,Endothelial,NK,-3.6666927,0.000994636,0.14401418,1.2727534,0.09929998,ECM,True
GSE197731_WT,48h,Lamb2,Itgb1,Endothelial,Microglia,-2.5827422,0.009144744,1.0063935e-18,1.0352231,0.17196986,ECM,True
GSE197731_WT,24h,Mif,Cd74,Pericyte,Pericyte,2.3312101,0.054243594,0.15239523,0.13811052,0.6990421,CD74,False
GSE197731_WT,48h,Mif,Cd74,Microglia,Endothelial,2.4156013,2e-44,0.115774594,0.35362917,1.8910947,CD74,True
GSE197731_WT,24h,Ncam1,Ncam1,Oligodendrocyte,Oligodendrocyte,-1.7474748,0.08206444,0.08206444,0.35450184,0.10487649,Adhesion,False
GSE197731_WT,24h,Osm,Osmr,Endothelial,Pericyte,2.8029623,0.004737244,0.96200794,0.06430288,0.4547305,Cytokine,True
GSE197731_WT,48h,Osm,Osmr,Endothelial,Endothelial,1.7209862,0.42760688,0.64785457,0.042468257,0.14229819,Cytokine,False
GSE197731_WT,24h,Pdcd1,Cd274,NK,Endothelial,2.310463,0.84006035,0.19965693,0.020845937,0.107365064,Checkpoint,False
GSE197731_WT,48h,Pdcd1,Cd274,Tcell,Endothelial,3.17896,0.012650826,0.072321326,0.05943161,0.5463013,Checkpoint,True
GSE197731_WT,24h,Pdgfa,Pdgfrb,Pericyte,Pericyte,0.62339693,0.15829892,0.03327366,0.379445,0.5850748,PDGF,True
GSE197731_WT,24h,Pecam1,Pecam1,Tcell,Tcell,2.3422265,0.106329516,0.106329516,0.016621508,0.08835595,Adhesion,False
GSE197731_WT,48h,Pecam1,Pecam1,Tcell,Tcell,2.2217584,0.014180145,0.014180145,0.016621508,0.08119757,Adhesion,True
GSE197731_WT,24h,S100a8,Tlr4,Pericyte,Macrophage,2.7524345,0.0029993255,8.995421e-09,0.07985288,0.5438298,Alarmin,True
GSE197731_WT,48h,S100a8,Tlr4,Microglia,Oligodendrocyte,3.6259077,0.0,0.96077234,0.029302195,0.37309426,Alarmin,True
GSE197731_WT,24h,S100a9,Tlr4,Bcell,Macrophage,2.6948287,6.733818e-07,8.995421e-09,0.044888996,0.29612067,Alarmin,True
GSE197731_WT,48h,S100a9,Tlr4,Microglia,Oligodendrocyte,3.2351074,0.0,0.96077234,0.040583797,0.39055118,Alarmin,True
GSE197731_WT,48h,Sdc1,Cxcl12,Tcell,Endothelial,-1.7881528,0.043514602,0.041019622,0.14067274,0.040020287,ECM,True
GSE197731_WT,24h,Spp1,Cd44,Endothelial,Pericyte,7.0297546,8.146164e-06,0.0061150594,0.01574975,2.1876452,Osteopontin,True
GSE197731_WT,48h,Spp1,Cd44,Microglia,Endothelial,4.6343346,0.0,0.0068533495,0.0639131,1.6111522,Osteopontin,True
GSE197731_WT,24h,Spp1,Itgav,Endothelial,Endothelial,5.533699,8.146164e-06,0.36713156,0.025104033,1.2082525,Osteopontin,True
GSE197731_WT,48h,Spp1,Itgav,Microglia,Macrophage,3.102611,0.0,0.00021605074,0.049528174,0.43302286,Osteopontin,True
GSE197731_WT,24h,Tgfa,Egfr,Oligodendrocyte,Pericyte,1.2477019,0.6366007,0.2055298,0.025127014,0.06104196,EGF,False
GSE197731_WT,24h,Tgfb1,Acvrl1,Tcell,Pericyte,1.9057993,0.0886688,0.089781635,0.06531715,0.24750127,TGFb,False
GSE197731_WT,48h,Tgfb1,Acvrl1,Microglia,Macrophage,-1.1544366,6.424e-42,2.2323577e-05,0.26225767,0.11726628,TGFb,True
GSE197731_WT,24h,Tgfb1,Tgfbr1,Tcell,Bcell,0.9541,0.0886688,0.44103897,0.0830236,0.16178486,TGFb,False
GSE197731_WT,48h,Tgfb1,Tgfbr1,Microglia,Microglia,-1.6174761,6.424e-42,0.0,2.3439682,0.7632371,TGFb,True
GSE197731_WT,24h,Tgfb1,Tgfbr2,Microglia,Endothelial,-1.5918834,7.057693e-34,0.004301341,1.3976544,0.46298695,TGFb,True
GSE197731_WT,48h,Tgfb1,Tgfbr2,Microglia,Endothelial,-2.35054,6.424e-42,0.0011666191,1.3976544,0.27323785,TGFb,True
GSE197731_WT,24h,Tgfb2,Acvrl1,Pericyte,Pericyte,1.4027913,0.8915577,0.089781635,0.01790015,0.04897439,TGFb,False
GSE197731_WT,24h,Tgfb2,Tgfbr2,Pericyte,Endothelial,-1.3191502,0.8915577,0.004301341,0.15996096,0.06350847,TGFb,True
GSE197731_WT,24h,Tgfb3,Tgfbr2,Pericyte,Tcell,1.3365015,0.5369131,0.3392122,0.032845765,0.084473476,TGFb,False
GSE197731_WT,24h,Thbs1,Cd47,Oligodendrocyte,Endothelial,-1.0926458,0.49168244,0.028635861,1.220951,0.5719737,Thrombospondin,True
GSE197731_WT,48h,Thbs1,Cd47,Macrophage,Tcell,0.69886404,2.3190038e-25,0.0015664637,3.3929737,5.508187,Thrombospondin,True
GSE197731_WT,24h,Tnf,Tnfrsf1a,Pericyte,NK,2.7594101,0.010921133,0.001126584,0.08128333,0.55615634,Cytokine,True
GSE197731_WT,48h,Tnf,Tnfrsf1a,Oligodendrocyte,NK,2.258267,0.3051061,2.0388122e-09,0.13024211,0.62688386,Cytokine,True
GSE197731_WT,24h,Vcam1,Itga4,Endothelial,Macrophage,-1.8982729,0.4323138,3.079599e-23,0.28407088,0.075474344,Adhesion,True
GSE197731_WT,24h,Vcam1,Itgav,Endothelial,Pericyte,-2.2029498,0.4323138,0.11159234,0.37468642,0.08059649,Adhesion,False
GSE197731_WT,24h,Vcan,Cd44,Macrophage,Pericyte,2.1120698,0.029205855,0.0061150594,0.09766189,0.42552635,ECM,True
GSE197731_WT,48h,Vcan,Cd44,Macrophage,Endothelial,2.3181577,5.3772806e-06,0.0068533495,0.15472926,0.77561396,ECM,True
GSE197731_WT,24h,Vegfa,Flt1,Oligodendrocyte,Pericyte,-1.706759,0.53475946,0.17178005,0.048023082,0.014018099,VEGF,False
GSE197731_WT,48h,Vegfa,Flt1,Oligodendrocyte,Endothelial,-0.9548036,0.979798,0.0052511324,0.34450668,0.17725098,VEGF,True
GSE197731_WT,24h,Vegfa,Kdr,Oligodendrocyte,Endothelial,-0.09792083,0.53475946,0.40971282,0.07729121,0.072153635,VEGF,False
GSE197731_WT,48h,Vegfa,Kdr,Macrophage,Endothelial,1.251743,8.613941e-25,0.37216368,0.32942545,0.7858386,VEGF,True
GSE197731_KO,24h,Apoe,Ldlr,Bcell,Oligodendrocyte,0.748634,0.37020776,0.31650105,0.18441029,0.3105266,Lipoprotein,False
GSE197731_KO,48h,Apoe,Ldlr,Endothelial,Oligodendrocyte,-0.9159864,0.042253844,0.2949313,0.32765737,0.17318228,Lipoprotein,True
GSE197731_KO,24h,Apoe,Lrp1,Endothelial,Pericyte,-1.3213544,0.09039391,0.015207404,3.337785,1.3350451,Lipoprotein,True
GSE197731_KO,48h,Apoe,Lrp1,Endothelial,Endothelial,-2.3170526,0.042253844,0.13519408,1.1714299,0.23427974,Lipoprotein,True
